,Unnamed: 0,Unnamed: 0.1,학번,학생소속대학명,학생교육부계열,성별,입학과정,학적,학과,전공,전공교수,rec012_nation_cd,과정,수료년도,수료학기,rec012_birth_dt,gpa,rec012_school_term,인건비총액,서류점수,면접점수,학부출신,대학원출신,월별인건비
3748,3748,8456,AAHZ2dlyu4PTkmSBTTWogIRx,공과대학,공학,1,정원외-계약학과,재학,반도체시스템공학과,시스템 및 소프트웨어전공,AAF9oF+BvOdhKKakf8E+XJOP,korean,석사과정,,,19961216,4.5,2,15480099,47.17,48,자교,,1290008.25
3753,3753,8483,AAG1TDM0J0wRmTTtOLNm1rTs,공과대학,공학,1,정원내신입학,재학,전기전자공학과,통신 및 네트워크전공,AAH0N/gEAzKXntPYBPaq+9jl,korean,석사과정,,,19951203,4.5,2,24200000,49.75,49.7,자교,,2016666.667
3754,3754,8484,AAE2eNRIbv0u4brbNyIwBKw7,공과대학,공학,1,정원내신입학,재학,전기전자공학과,반도체 및 나노전공,AAGVaVDMnAJbsoy6IqhpItUd,korean,석사과정,,,19970315,4.25,2,10215000,43.59,44.03,자교,,851250
3755,3755,8485,AAFHfqZEZqT8iiWZrgT8a2vk,공과대학,공학,2,정원내신입학,재학,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,,,19950717,4,2,,39.37,39.88,타교,,0
3756,3756,8486,AAFoLDY0/L0Q5Tv3scDcad1i,공과대학,공학,2,정원내신입학,재학,전기전자공학과,반도체 및 나노전공,AAFAdiRzimzpkLB6/eFLLRaK,korean,석사과정,,,19970605,4.5,2,6670000,48.95,49.47,자교,,555833.3333
3757,3757,8487,AAH1n+q4fWPK+voxu0tImwzD,공과대학,공학,1,정원내신입학,재학,전기전자공학과,통신 및 네트워크전공,AAEDRkBX7/Ql8YY92VjxsLch,korean,석사과정,,,19950413,4.5,2,23461941,47.53,47.04,자교,,1955161.75
3758,3758,8488,AAF6/4t6k82dmfdx7CXBqk52,공과대학,공학,1,정원내신입학,재학,전기전자공학과,통신 및 네트워크전공,AAGxp12W7P/OZsrknV1XW5AW,korean,석사과정,,,19851104,4.5,2,,39.66,40.57,타교,,0
3779,3779,8522,AAEHYm3P1fj1UCRF5+4BaVV2,공과대학,공학,1,정원내신입학,재학,전기전자공학과,컴퓨터공학전공,AAGeqJDzBjy+KGfL5UY+9TIp,korean,석사과정,,,19960715,4.25,2,20600000,48.89,49,자교,,1716666.667
3780,3780,8523,AAGoeA6O6EkfP+S2sf67wxz7,공과대학,공학,1,정원내신입학,재학,전기전자공학과,컴퓨터공학전공,AAH21A4vb3SvJdJfujF2CFFF,korean,석사과정,,,19950520,4.5,2,,48.87,49.27,자교,,0
3781,3781,8524,AAGX3mxllg19Q5HY3DLIl14u,공과대학,공학,1,정원내신입학,재학,전기전자공학과,제어·로봇·시스템,AAGgK5aLYXtqUCEsJUyA69tb,korean,석사과정,,,19970613,4.5,2,,47.29,46.92,자교,,0
